ticker_code,start_date,end_date,strategy_class,doPlot
SAP,2023-01-01,now,BollingerBandsStrategy,0
NVDA,2023-01-01,now,BollingerBandsStrategy,0
ORCL,2023-01-01,now,BollingerBandsStrategy,0
TSM,2023-01-01,now,BollingerBandsStrategy,0
AVGO,2023-01-01,now,BollingerBandsStrategy,0
NEE,2023-01-01,now,BollingerBandsStrategy,0
CCJ,2023-01-01,now,BollingerBandsStrategy,0
CVX,2023-01-01,now,BollingerBandsStrategy,0
GEV,2023-01-01,now,BollingerBandsStrategy,0
PLTR,2023-01-01,now,BollingerBandsStrategy,0
POET,2023-01-01,now,BollingerBandsStrategy,0
NET,2023-01-01,now,BollingerBandsStrategy,0
INTC,2023-01-01,now,BollingerBandsStrategy,0
ARM,2023-01-01,now,BollingerBandsStrategy,0
COKE,2023-01-01,now,BollingerBandsStrategy,0
GEHC,2023-01-01,now,BollingerBandsStrategy,0
GE,2023-01-01,now,BollingerBandsStrategy,0
AMD,2023-01-01,now,BollingerBandsStrategy,0
OXY,2023-01-01,now,BollingerBandsStrategy,0
